report	provider_number	npi	fy_start	fy_end	date_processed	date_created	status	year	data_source	beds	tot_charges	net_pat_rev	tot_discounts	tot_operating_exp	ip_charges	icu_charges	ancillary_charges	tot_discharges	mcare_discharges	mcaid_discharges	tot_mcare_payment	secondary_mcare_payment	street	city	state	zip	county	name	uncomp_care	cost_to_charge	new_cap_ass	cash	fixed_assets	depr_land	depr_bldg	depr_lease	depr_fixed_equip	depr_auto	depr_major_equip	depr_minor_equip	current_assets	current_liabilities	pps_ip_charges	pps_op_charges	pps_mcare_cost	pps_pgm_cost
246424	341310		10/01/2008	09/30/2009	02/11/2010	02/08/2010	1	2009	v1996	25	15683572	9394585	6288987	10928692	768876		5299113	664	447	61			210 FRONT STREET	BELHAVEN	NC	27810-	BEUAFORT	PUNGO DISTRICT HOSPITAL CORPORATION		.694251	215861	1492974	5429620	69265	3302563		699844		3333411		3724077	3853930	6562050	8560219	2259384	
246684	450475		10/01/2008	05/31/2009	02/23/2010	02/09/2010	1	2009	v1996	51	41897575	14879398	27018177	15915766	5907633	918181	12906740	1583	653	118	4243087		300 WILSON ST	HENDERSON	TX	75652	RUSK	HENDERSON MEMORIAL HOSPITAL	5563794	.346036	6054771	51661	5598557	457577	9708028		4664133		8901659		9515270	2664867	20468342	20587840	4181484	3928271
246751	670011		01/01/2009	06/30/2009	02/24/2010	02/04/2010	1	2009	v1996	14	21713685	5224916	16488769	6541291	1245622		3235923	480	232	12	1215532	9671	3201 HWY 71 E	BASTROP	TX	78602	BASTROP	LAKESIDE HOSPITAL		.276768	2607297	481664	11647053		631832				2358095		2274890	6433519	5204982	16508703	1260628	1029119
246838	362023		12/15/2008	01/31/2009	02/26/2010	02/26/2010	2	2009	v1996	43	4046758	1802232	2244526	1303561	774148		3236102	33	25	6			8064 SOUTH AVENUE  STE 210	BOARDMANNCH	OH	44512	MAHONING	MAHONING VALLEY HOSPITAL				41247									5578919	2519144	4048213		991224	785839
246843	141316		10/01/2008	09/30/2009	02/26/2010	02/18/2010	1	2009	v1996	22	41054248	19894229	21160019	18933047	1425836		5834343	453	268	26			701 EAST ORANGE	HOOPSETON	IL	60942	VERMILLION	HOOPESTON COMMUNITY MEMORIAL HOSPITA			1568114	776428	8456951		3450181				2554400		2991957	2966028	11670410	29185401	952861	
246879	490077		10/01/2008	09/30/2009	02/26/2010	02/18/2010	1	2009	v1996	176	432904951	219996077	212908874	203452912	27554294	3549450	154653756	11652	5383	820	41082024	21972	459 LOCUST AVE	CHARLOTTESVILLE	VA	22902	ALBEMARLE	MARTHA JEFFERSON HOSPITAL	9305340	.376365	127422410	43201000	181763000							155167000	146873000	66996000	181285609	226892444	43112899	39410777
246884	510026		07/01/2009	09/20/2009	02/26/2010	02/22/2010	1	2009	v1996	51	58036697	22688811	35347886	5887756	4402880	958640	13797305	383	140	80	698723		ROUTE 55 WEST	PETERSBURG	WV	26847	GRANT	GRANT MEMORIAL HOSPITAL		.476447	227429	2719039	8472910	362913	8933836				11102960		8159214	1916708	4658161	5896559	821499	759417
247067	140054		10/01/2008	09/30/2009	03/03/2010	03/03/2010	1	2009	v1996	256	842357927	249950366	592407561	256666186	97335732	13073940	314615088	15148	4603	4181	53663634	333563	3249 SOUTH OAK PARK AVENUE	BERWYN	IL	60402	COOK	MACNEAL HOSPITAL		.226929	12682744	3204	99649766				46352842				33252781	23299894	474045134	361112921	37888650	35007574
247073	394047		01/01/2009	12/31/2009	03/03/2010	02/15/2010	2	2009	v1996														5300 KIDSPEACE DRIVE	OREFIELD	PA	180699101	LEHIGH	NATIONAL HOSPITAL FOR KIDS IN CRISIS																		
247095	414000		10/01/2008	09/30/2009	03/05/2010	03/01/2010	1	2009	v1996	117	114660744	57728907	56931837	85755809	81199575		9352209	5425	1790	45			345 BLACKSTONE BOULEVARD	PROVIDENCE	RI	02906	PROVIDENCE	BUTLER HOSPITAL			2363891	16031186	18529875	2011856	21222593		5804679	186149	8604559		28555633	15049343	92756379	13891162	15074137	14364872
247121	250127		10/01/2008	09/30/2009	03/05/2010	03/05/2010	2	2009	v1996														210 HOSPITAL CIRCLE	PHILADELPHIA	MS	39350-6781	OKLAHOMA	CHOCTAW HEALTH CENTER																		
247171	050660		04/01/2009	09/30/2009	03/09/2010	03/08/2010	1	2009	v1996	60	156045941	53908896	102137045	56680995	7493450	3899911	45053813	981	347	31			1441 EASTLAKE AVE	LOS ANGELES	CA	90033	LOS ANGELES	USC NORRIS CANCER HOSPITAL		.336934	238337	12089869	40653153		603358				1394123		32844230	12280074	56470842	99585884	8807807	8257800
247201	010016		10/01/2008	09/30/2009	03/10/2010	02/26/2010	1	2009	v1996	191	691517836	122585110	568932726	114389544	50588577	12135456	340859125	10121	3340	2042	29111853	73914	1000 FIRST STREET NORTH	ALABASTER	AL	35007	SHELBY	SHELBY BAPTIST MEDICAL CENTER	46238649	.164873		123683	78191356						82204646		16978368	48915221	400942560	282960149	26595437	24529903
247205	010169		10/01/2008	09/30/2009	03/10/2010	03/02/2010	1	2009	v1996	49	57947299	14323525	43623774	15119330	2216128	846623	16954920	1325	737	145	3774358	1456	401 MEDICAL PARK DRIVE	ATMORE	AL	36502	ESCAMBIA	ATMORE COMMUNITY HOSPITAL	7110861	.242231	522896	1571073	4067286							9567683	4021784	2159902	20017672	36508699	3131936	2969855
247226	223032		10/01/2008	09/30/2009	03/10/2010	03/04/2010	1	2009	v1996	60	45311749	28818856	16492893	30130594	15798091		12358525	1143	856	13			311 SERVICE ROAD	EAST SANDWICH	MA	02537	BARNSTABLE	REHAB. HOSPT. OF THE CAPE & ISLANDS			876978	864000	7769000	75722	6477864	753791	419323		5642362	449737	5516000	2420000	28156616	17155133	14932788	13692038
247266	341304		10/01/2008	09/30/2009	03/11/2010	03/05/2010	1	2009	v1996	6	34411169	15439869	18971300	15552170	1092341		5433541	455	347	42			1403 SOUTH KING STREETAL	WINDSORUTH KING STREET	NC	27983-	BERTIE	BERTIE MEMORIAL HOSPITAL			315732	3070365	6822416		6540359						7021418	2338547	6525882	25784759	2715487	
247270	341319		10/01/2008	09/30/2009	03/11/2010	03/08/2010	1	2009	v1996	25	102569279	50475205	52094074	54506779	4016929	1062868	18196137	1707	897	330			HOSPITAL DRIVE	BREVARD	NC	29712-	TRANSYLVANIA	TRANSYLVANIA COMMUNITY HOSPITAL		.462188	4770425	765320	37993736	676363	6840003		16710892				14356123	7643683	24294697	62033308	6810839	
247271	341320		10/01/2008	09/30/2009	03/11/2010	03/03/2010	1	2009	v1996	25	16934179	9508004	7426175	10952969	1316969		3072078	724	514	47			233 DOCTORS STREET	SPARTA	NC	28675-	ALLEGHANY	ALLEGHANY MEMORIAL HOSPITAL			517766	263134	8088712		10185276						2935255	1969644	4554055	11622675	2270191	
247272	341321		10/01/2008	09/30/2009	03/11/2010	03/08/2010	1	2009	v1996	25	17667123	7878837	9788286	9535922	278385		6088970	307	91				416 CHESTNUT STREET	BLOWING ROCK	NC	28605-	WATAUGA	BLOWING ROCK HOSPITAL		.523938		631961	2918844								1740705	1826518	13114531	4552592	322156	
247276	341325		10/01/2008	09/30/2009	03/11/2010	03/03/2010	1	2009	v1996	25	49940542	24548040	25392502	27577458	2658591		9659785	1413	741	382			200 HOSPITAL AVENUE	JEFFERSON	NC	28640-	ASHE	ASHE MEMORIAL HOSPITAL		.496529	553592	2157927	8193494	660812	6707213		556644		9022067		6724121	6486403	17172067	29033956	3733381	
247284	341318		10/01/2008	09/30/2009	03/11/2010	03/10/2010	1	2009	v1996	28	99327368	50197768	49129600	51812944	4346057	1719481	15631962	2126	1044	645			211 VIRGINIA AVENUE	EDENTON	NC	27932-	CHOWAN	CHOWAN HOSPITAL INC.		.442852	3384449	4224644	21285417				19598353				16949848	5642436	36316490	55269653	9193558	
247327	074000		10/01/2008	09/30/2009	03/11/2010	03/05/2010	1	2009	v1996	76	1097199	544283	552916	1060733	834		140	48	14				47 LONG LOTS ROAD	WESTPORT	CT	06880	FAIRFIELD	HALL-BROOKE BEHAVIORAL HLTH SVS				123005	3186295		1849601						3119392	2071529	244278	995559	3176	1387
247337	301300		10/01/2008	09/30/2009	03/12/2010	02/25/2010	1	2009	v1996	16	25512865	15395912	10116953	16731061	2466672		3340026	444	309	35			CORLISS LANE  RR 2	COLEBROOK	NH	03576	COOS	UPPER CONNECTICUT VALLEY HOSPITAL			449034	774918	5208726	183181	1679606		1010587		3017797		3930881	2678802	6130493	16878710	2316698	
247352	220163		10/01/2008	09/30/2009	03/12/2010	03/03/2010	1	2009	v1996	632	2941022879	1124045575	1816977304	1248436943	225421218	179162238	1057007693	44400	12647	5208	215709490	112820	55 LAKE AVE. NORTH	WORCESTER	MA	01655	WORCESTER	UMASS MEMORIAL MEDICAL CENTER	23826505	.329707	5314928	146641851	455735278	6055204	268453947	1064281	56917023	1130464	247141885		318831597	154488912	1624360822	1274308976	205687601	193628334
247364	471300		10/01/2008	09/30/2009	03/12/2010	03/03/2010	1	2009	v1996	19	16937491	14323378	2614113	19414438	550674		3230459	208	163	16			ROUTE 35	TOWNSHEND	VT	05353-0216	WINDHAM	GRACE COTTAGE HOSPITAL				286809	4052996	26037	3174951		350923	27733	1688336	788143	3082803	2998172	5757386	11092924	864684	
247421	140147		10/01/2008	09/30/2009	03/12/2010	03/04/2010	1	2009	v1996	47	89889399	36849361	53040038	36843005	5183084	1845916	28008946	2101	1083	444	6417771		800 EAST LOCUST	OLNEY	IL	62450-2958	RICHLAND	RICHLAND MEMORIAL HOSPITAL	3276188	.337111	1024310	2352854	12788596	453681	14762919		2017601		9586830		9074226	3909950	39676127	41322548	6897099	6405443
247451	520071		10/01/2008	09/30/2009	03/12/2010	03/11/2010	1	2009	v1996	72	231836139	115231830	116604309	117586414	7689916	6717091	35182143	2977	1357	565	9738747		611 E SHERMAN AVENUE	FORT ATKINSON	WI	53538	JEFFERSON	HOSPITAL		.468578	19986450	20697230	73275816	1338663	23628202		8201954		33890490		41144312	12361466	53001396	107701168	14097930	12503910
247452	520109		10/01/2008	09/30/2009	03/12/2010	03/05/2010	1	2009	v1996	38	111307004	61355647	49951357	59734736	7835235		24103236	1973	887	225	5292723		1050 DIVISION STREET	MAUSTON	WI	53948	JUNEAU	HESS MEMORIAL HOSPITAL  INC.	5656135	.42471	863327	7904011	30854540	868230	19964254		73098		17454141		23621086	5745027	38414787	63923677	5646531	5160427
247454	521310		10/01/2008	09/30/2009	03/12/2010	03/04/2010	1	2009	v1996	25	67710082	29842001	37868081	36795021	4319319	667309	10738646	1091	455	39			855 SOUTH STREET	OCONTO FALLS	WI	54154	OCONTO	COMMUNITY MEMORIAL HOSPITAL	4028841	.417369	665283	1182464	11583196	165029	5071036		4459585		3619435		9637992	3484973	16764397	44514798	2870078	
247457	521320		10/01/2008	09/30/2009	03/12/2010	03/08/2010	1	2009	v1996	25	50244528	31277884	18966644	30517212	3456522		6620034	1049	366	53			321 BUTTS AVENUE	TOMAH	WI	54660	MONROE	TOMAH MEMORIAL HOSPITAL			968064	4743231	12809464	220260	9354021				4946640		10620166	3485477	9407199	28358405	2521919	
247463	521351		10/01/2008	09/30/2009	03/12/2010	03/02/2010	1	2009	v1996	25	67639273	39433456	28205817	39918630	4769428	575974	14361787	1831	809	158			2000 NORTH DEWEY STREET	REEDSBURG	WI	53959	SAUK	REEDSBURG AREA MEDICAL CENTER	2470228	.504935	1241909	7729197	30512522	298278	10598455				7766728		16794718	4711885	18308329	44000458	6215624	
247476	010087		10/01/2008	09/30/2009	03/12/2010	03/09/2010	1	2009	v1996	131	226661103	155715479	70945624	198886313	12990642	13153688	114314723	5980	987	1516	23107455	70985	2451 FILLINGIM STREET	MOBILE	AL	36617	MOBILE	UNIV OF SOUTH ALABAMA MEDICAL CENTER	68450919	.45753											40066930	146939032	144982699	76334242	12695678	12243591
247486	440016		10/01/2008	09/30/2009	03/12/2010	03/09/2010	1	2009	v1996	55	35463347	15816997	19646350	15372754	2313726	812925	7868485	946	591	115	3194063	284	631 E.B. WILSON DRIVE	HUNTINGDON	TN	38344-	CARROL	BAPTIST MEM HOSPITAL HUNTINGDON	784123	.3527	1551249	1153102	9990443	424852	6732911				4937042		3158301	5588554	11215515	23280563	3518847	3219367
247535	103026		10/01/2008	09/30/2009	03/12/2010	03/09/2010	1	2009	v1996	60	70735641	41089126	29646515	38722190	24676510		21457791	1155	767	123			1050 NE 125TH STREET	NORTH MIAMI	FL	33161	MIAMI-DADE	ST. CATHERINE S REHABILITATION HOSPI			26176258	3203387	20704940	260947	5892578		4480061	80018			6378213	5595576	68167081	2517273	10976189	10370613
247536	103027		10/01/2008	09/30/2009	03/12/2010	03/11/2010	1	2009	v1996	26	48952540	25577436	23375104	26391948	11779782		13340226	533	372	18			3705 N.W. 35TH STREET	LAUDERDALE LAKES	FL	33311	BROWARD	ST. JOHNS REHAB HOSPITAL			327735	1026333	7998427	159627	6176787	909824	3414277	64449			8463925	2870416	47680367	1259648	5597079	5107119
247545	660001		10/01/2008	09/30/2009	03/12/2010	03/10/2010	1	2009	v1996	74				29869087				4435	287	1			MIDDLE ROAD  NAVY HILL	SAIPAN	MP	96950	MP	COMMONWEALTH HEALTH CENTER		1381.63884													14000	11000	822763	
247650	110122		10/01/2008	09/30/2009	03/15/2010	03/15/2010	1	2009	v1996	263	527173975	260306117	266867858	268949096	34373674	15909370	224280423	13881	5144	1474	47836098	33567	2501 NORTH PATTERSON STREET	VALDOSTA	GA	31603-1727	LOWNDES	SOUTH GEORGIA MEDICAL CENTER	42886621	.408645	32541145	64470475	96542044		183582463						132661785	39891864	295109627	226887432	55753185	50951203
247683	301305		10/01/2008	09/30/2009	03/15/2010	03/02/2010	1	2009	v1996	22	48590880	36447363	12143517	37051198	1869263		7642613	746	176	130			125 MASCOMA STREET	LEBANON	NH	03766	GRAFTON	ALICE PECK DAY MEMORIAL HOSPITAL				4951247	11188524	766019	6900844	172214	2825878		11243066		14837487	6836703	11509216	29756300	2040695	
247687	471301		10/01/2008	09/30/2009	03/15/2010	03/04/2010	1	2009	v1996	29	82987608	49374895	33612713	49782650	7382235	311030	8111199	1131	595	197			44 SOUTH MAIN STREET	RANDOLPH	VT	05060	ORANGE	GIFFORD MEDICAL CENTER			4355519	4957376	26281732	670591	9006735	96003	2584129	46333	9038195		15489420	10301621	18490689	51603628	3738709	
247698	030087		10/01/2008	09/30/2009	03/15/2010	03/08/2010	1	2009	v1996	407	1274878230	383321875	891556355	388402469	111852866	42030681	565163824	22665	5425	2015	57651393	126170	10450 N. 92ND STREET	SCOTTSDALE	AZ	85258	MARICOPA	SCOTTSDALE HEALTHCARE - SHEA	3771129	.27541	17256737	-685008	114438318	5047842	59129954	1229418	42025001		60256456	253239	55809018	30513661	766212707	499832917	69764830	62888788
247725	220049		10/01/2008	09/30/2009	03/16/2010	03/04/2010	1	2009	v1996	45	183384026	65730819	117653207	70975157	5534934	3346654	43613202	3330	1608	173	11606349	15589	57 UNION STREET	MARLBOROUGH	MA	01752	MIDDLESEX	MARLBOROUGH HOSPITAL	1328655	.302564		5831354	18234902	836925	11762326		5636063		13779418		12829107	6730048	71139990	110664723	11477917	11088162
247726	220116		10/01/2008	09/30/2009	03/16/2010	03/10/2010	1	2009	v1996	350	1345163000	548278000	796885000	614053000	101290000	215670000	466630000	18853	5070	4248	108122303	92135	800 WASHINGTON STREET	BOSTON	MA	02111	SUFFOLK	TUFTS MEDICAL CENTER	18985698	.32748	24880775	8072000	153521000		71905000	3176000			83942000		144357000	124778000	798342370	546541444	74972419	69561203
247727	222026		10/01/2008	09/30/2009	03/16/2010	03/10/2010	1	2009	v1996	120	70717813	41428813	29289000	45711000	17663604		38094914	1071	609	71			DOVE AVENUE	SALEM	MA	01970	ESSEX	SHAUGHNESSY KAPLAN REHAB HOSPITAL			1470795	1364000	4773640	9594	2322084	1983454			1762529		7919000	8286000	59347825	11369987	14695208	14323913
247729	470005		10/01/2008	09/30/2009	03/16/2010	03/09/2010	1	2009	v1996	97	311187904	170935580	140252324	169377884	28150264	5774872	85980534	5939	2912	1029	28599794	3583	160 ALLEN STREET	RUTLAND	VT	05701-4595	RUTLAND	RUTLAND REGIONAL MEDICAL CENTER	62538223	.467537	5572631	13380586	50746196	932735	25353267	19635829			42659347		41957658	23859679	126618647	163560954	36228659	33943153
247733	250023		10/01/2008	09/30/2009	03/16/2010	03/16/2010	1	2009	v1996	24	11438771	10053764	1385007	10493766	236641		1256949	91	49	6	213090		HIGHWAY 11 SOUTH	POPLARVILLE	MS	39470	PEARL RIVER	PEARL RIVER COUNTY HOSPITAL	563455	.903732	257193	618002	3641262	10429	2204270		326288	86941	472536		1787947	878041	9233668	1530419	329284	315890
247759	260113		10/01/2008	09/30/2009	03/16/2010	03/16/2010	1	2009	v1996	163	205710679	79133549	126577130	81007739	9138750	2771366	68317811	3993	1898	1733	15850383		1008 N MAIN	SIKESTON	MO	63801	SCOTT	MISSOURI DELTA MEDICAL CENTER		.304404	6006055	12425323	25317346		12903714				29918579		26248494	7831508	84044068	93208513	14908724	13799607
247765	181302		10/01/2008	09/30/2009	03/16/2010	03/10/2010	1	2009	v1996	25	51583738	21067088	30516650	20935453	3261870	905221	11205661	1031	595	83			464 LINDEN AVENUE	HARRODSBURG	KY	40330	MERCER	JAMES B HAGGIN MEMORIAL HOSPITAL	22904	.390549	2355645	4648713	10562043		12861252						10538415	2903236	17407126	30248320	3521859	
247767	471302		10/01/2008	09/30/2009	03/16/2010	03/10/2010	1	2009	v1996	23	59748033	45483330	14264703	46848548	1238917		10102705	443	317	34			289 COUNTY ROAD	WINDSOR	VT	05089	WINDSOR	MT. ASCUTNEY HOSITAL & HEALTH CENTER			464039	1688694	13745311	458160	8590293				4939303		10182498	5244672	19411996	33851876	2078523	
247787	010073		10/01/2008	09/30/2009	03/16/2010	03/11/2010	1	2009	v1996	46	35285830	18554977	16730853	20644300	1530275	636350	11471763	1534	865	96	4114883	2796	544 EAST AVENUE	ASHLAND	AL	36521-	CLAY	CLAY COUNTY HOSPITAL	1585664	.494203	719841	1202066	7750850		13672035						5125632	1941792	18842828	13849057	3839385	3631650
247792	010146		10/01/2008	09/30/2009	03/16/2010	03/12/2010	1	2009	v1996	57	108949993	24370333	84579660	27780921	7350015	818867	22866745	1977	709	633	3503580		1701 PELHAM ROAD  SOUTH	JACKSONVILLE	AL	36265-	CALHOUN	JACKSONVILLE MEDICAL CENTER		.186494	6991766	106824	15380915	64288	783092	274498	404098		1201062		2741920	2062818	36066874	69952212	3200249	2951780
247793	110032		10/01/2008	09/30/2009	03/16/2010	03/12/2010	1	2009	v1996	96	105509778	48229483	57280295	49139573	5218655	5608241	31513126	4081	1494	234	10904901		2003 FALLS RD	TOCCOA	GA	30577-	STEPHENS	STEPHENS COUNTY HOSPITAL	9168601	.460951	1731104	4899417	23576236	621345	11419819		24551271				23550378	11428074	44062098	52018339	13130424	12202093
247794	010032		10/01/2008	09/30/2009	03/16/2010	03/12/2010	1	2009	v1996	34	20362248	8688168	11674080	10972569	1590817		6307185	676	408	63	1717786		301 NORTH MAIN STREET	WEDOWEE	AL	36278	RANDOLPH	WEDOWEE HOSPITAL		.390776		17006	952145								1366776	1624920	7898002	12217947	1578762	1496196
247797	010137		10/01/2008	09/30/2009	03/16/2010	03/12/2010	1	2009	v1996	149	105920847	39154880	66765967	86146617	7325534	4478631	31817443	4286	308	735	4197096		1515 6TH AVENUE SOUTH	BIRMINGHAM	AL	35233	JEFFERSON	COOPER GREEN MERCY HOSPTIAL	12056520	.653591		2461222	37993842	2450636	17610332		9392450	10649	16990588		16530756	4099657	43686253	62163442	3563527	3448900
247798	440003		10/01/2008	09/30/2009	03/16/2010	03/12/2010	1	2009	v1996	138	313808762	91556262	222252500	121436180	11329695	4271685	127509976	5954	2195	1167	17768476	22294	555 HARTSVILLE PIKE	GALLATIN	TN	37066-	SUMNER	SUMNER REGIONAL MEDICAL CENTER	560069	.332677		4616696	131679903	453564	21503615	172382	4711055	237829	47750375	4095926	54371486	18930754	145895194	166640384	21096971	17374222
247831	223029		10/01/2008	09/30/2009	03/17/2010	03/11/2010	1	2009	v1996	110	48889677	34764645	14125032	27887369	18934455		27853978	2040	1483	120			189 MAY STREET	WORCESTER	MA	01602-4399	WORCESTER	FAIRLAWN REHABILITATION HOSPITAL			668355	4563478	9213658	313913	4380626	3838511			5841137		8916341	3382610	46674049	2101244	18618379	18028196
247903	201302		10/01/2008	09/30/2009	03/18/2010	03/11/2010	1	2009	v1996	25	23739778	17155685	6584093	21802170	2203640		5756319	360	261	16			6 ST. ANDREWS LANE	BOOTHBAY HARBOR	ME	04538	LINCOLN	ST ANDREWS HOSPITAL			537479	549999	20112076	1340189	5177003	179183	3833165		3415889		4774330	4016246	8096772	12315454	1029989	
247906	220162		10/01/2008	09/30/2009	03/18/2010	03/15/2010	1	2009	v1996	27	1161423896	445293082	716130814	786485268	26065708		37785278	993	265	53			44 BINNEY STREET	BOSTON	MA	02115	SUFFOLK	DANA-FARBER CANCER INSTITUTE			187486616	49060740	544078746		405855312						171440316	137323673	63850987	1072024686	5462497	5090977
247908	301309		10/01/2008	09/30/2009	03/18/2010	03/15/2010	1	2009	v1996	25	88931248	65791064	23140184	67764701	3740220	1107678	11281744	1297	595	219			452 OLD STREET ROAD	PETERBOROUGH	NH	03458	HILLSBOROUGH	MONADNOCK COMMUNITY HOSPITAL			2946031	5745433	27974343	304632	10244852	247822	8032122		11790624		13847094	8120603	16519559	72091370	6657455	
